llm_summary,LABEL
 Fiber Internet Ordering issue: SNID shows enabled despite not being installed.,address correction
 Customer downgraded internet service from 940M to 500M. Order completed before Orchestration Plan creation. Salesforce reflects new speed but provisioning and pricing unchanged.,address correction
 Function Impacted: Unable to order pods Issue Category: Equipment Customer receives error message when ordering pods,address correction
 Customer canceled a disconnect order and was charged a non-returned equipment fee.,address correction
 **Summary:**  - Customer is unable to connect to Wi-Fi due to splash page download issue. - Backdoor sign-up link attempt resulted in an "Invalid DTN" error. - SFDC Premise URL provided for reference.,address correction
" EULA Acceptance data is missing for Work Order: 05269142. Subscriber agreement is checked, but subscriber agreement method, subscriber accepted date, and subscriber version number are missing. See attachment.",address correction
 Unable to upgrade bulk property due to payment issues. The system is not saving the updated payment information.,address correction
 Duplicate DTN 1500213207 is showing on two separate accounts and unit numbers.,address correction
" Order placement issue: Two orders (A00576820 & A00576821) are in ""Ready to Submit"" status without an Orchestration Plan, preventing the customer from placing an additional pod order.",address correction
" An order (A00771288) is in ""Ready to Submit"" status but lacks an assigned Orchestration Plan. Blake, the customer, ordered the service on 4-23-24 and made a payment. However, the account creation is incomplete, and the order is not associated with an Orchestration Plan.",address correction
 Customer is facing "we ran into a problem" error while attempting to order additional pods due to missing vendor model details.   Account URL: https://ctl-fiber.lightning.force.com/lightning/r/Account/0013j00003FhW9pAAF/view,address correction
 SNID Cache Update function is impacted. The issue category is QF: Equipment Update smart nid cache. The SN AXON1006ABBCMAC 58 13 D3 ED D7 7E is affected.,address correction
 Unable to complete repair dispatch order due to service territory not auto-populating and page getting stuck on spinning when manually selecting the service territory.,address correction
 Function Impacted: Fiber Internet Ordering Issue Category: All Other Issues,address correction
 Service address and appointment information is missing in the new order confirmation payload on handful Fiber Internet accounts. Some of the accounts recently come through are listed in the report.,address correction
" **Function Impacted**: Repair Case Notes Transfer **Issue Category**: System Performance **Work Order**: 05267971 **Case Number**: 02784604  **Summary**: Repair case notes are not transferring from the initial screen to the next when creating a repair case on any account. The description field retains information, but the notes field does not. This issue requires E2E investigation.  **Additional Details**: - SFDC Cx Acct URL: https://ctl-fiber.lightning.force.com/lightning/r/Account/001Do00000R8UiBIAV/view",address correction
 Function impacted: Manage Portal Issue category: QF: Manage Portal Work order: 02835124 Summary: Unable to upgrade speeds,address correction
" Fiber internet order impacted, customer account status pending activation. Work order 02372417 orchestration plan complete, all orders complete, but Salesforce shows pending activation.",address correction
 Salesforce is conducting a subscription cleanup to delete canceled subscriptions when an active subscription exists. The goal is to enhance user experience for agents by removing duplicate subscriptions. The cleanup will focus on canceled subscriptions with a 3 Months Initial Term and marked as temporary. A report detailing these subscriptions is attached.,address correction
 Zarina will write a script to cancel subscriptions for accounts that have been suspended for 2 months or longer. This will result in the accounts being closed in Salesforce.,address correction
 Intermittent outage reported on 7 specific addresses.,address correction
" Customer's HSI rate was incorrectly updated to $105 due to a migration API, resulting in an overcharged bill of $145 ($105 for HSI and $40 for connected voice) instead of the correct $105 ($65 for HSI and $40 for connected voice).",address correction
 - Equipment tracker not canceled after disconnect order cancellation. - Repetitive notifications to return equipment despite account being active and equipment still in use. - Request to investigate and terminate repetitive notifications. - Salesforce Customer Account URL provided for reference.,address correction
 **Function Impacted**: Instant Internet Ordering **Issue Category**: QF: Manage Portal **Case Number**: 01423870 **Summary**: Customer wants to activate instant internet.,address correction
 OP fatally failed at step "Send Disconnect Notification Email" for A00788203. Need to resolve OP error and ensure A order is completed.,address correction
" A customer, DAVID PLATT, wants to keep the existing service at Milwaukie Presbyterian Church. The new customer is an independent daycare in the church basement. The installation is scheduled for 3-27 with the same DTN as the current customer. A related INC, INC6415984, has been created for account impacts to Milwaukie Presbyterian Church.",address correction
" **Summary:** Equipment QF DTN 1550036281 lacks programming, with all programming residing under LCTL DTN 2000012115.",address correction
 Cleanup of null product names.,address correction
 Missing DTN. Work Order: 02741382.,address correction
" Incorrect data in Salesforce.com BIWF Orders in-progress status for both upgrades and downgrades. The VOM team will determine which are VOM vs SOM issues. SOM issues will be sent to Emily, and VOM will handle the rest. Downgrades will require credits, and a list of these accounts will be sent to Brandi Anderson. Siddharth has the list of impacted accounts.",address correction
 A PDAP user changed the status of their case to Ready to Reschedule. A non-PDAP agent tried to reschedule the appointment using the book appointment function but received an error message. The non-PDAP agent had to reach out to a PDAP agent to set the reschedule.,address correction
" Customer is unable to update their payment method. They don't see the ""Update Payment Method"" option under the ""Billing Tab"". The issue persists despite trying different devices, browsers, and clearing cookies.",address correction
 OP fatally failed at step "PX Post API -V2" for A0057327. This is causing issues with order status and agent compensation. The order needs to be completed and the agent compensated.,address correction
 **Function Impacted**: Fiber Internet Ordering **Issue Category**: System Performance **Work Order**: N/A **Case Number**: 02730993,address correction
 Function impacted: SNID Cache Update Request Issue category: System Performance Work order: A00771768 Case number: 02812163 Summary: Request to clear the SMARTNID cache and remove the SMARTNID Indicator from the account in Salesforce. The QF device at the specified address has been decommissioned and is no longer present. The Salesforce Customer Account URL is provided for reference.,address correction
" **Function Impacted:** Instant Internet Ordering **Issue Category:** System Performance **Issue Description:** Customer is unable to update payment method after account migration. The issue persists across different credit cards, bank accounts, and browsers.  **Additional Information:** - The customer's account was recently migrated. - This issue may be related to issues previously reviewed under INC6408300 (now closed). - SFDC Customer Account URL: https://ctl-fiber.lightning.force.com/lightning/r/Account/001Do00000R6g4JIAR/view",address correction
 Salesforce agent UI is impacted due to an issue where SNID status is enabled without true installation. This is a duplicate of a previously reported DTN issue.,address correction
 Salesforce agent UI is impacted. The customer has a duplicate DTN: 1500188521. Work order number is 02424312 and case number is 01765980.,address correction
 SQE duplicate detention issue.,address correction
 Fiber Internet Ordering is impacted by an issue preventing Orchestration from starting. Case Number: 01673748,address correction
" Jaquetta is unable to apply her payment on the Partner Portal. She has updated her payment method, but the ""Pay outstanding amount"" option is missing. Her Visa card ending in 0256 has a payment amount of $65.25.",address correction
 Partner Portal is experiencing issues with updating payments.,address correction
 Incorrect pricing and missing installation date for 200 Mbps fiber internet orders.,address correction
 Customer placed an order for 2 wifi pods in June 2022 but never received them. Please assist in shipping the pods.,address correction
" Fiber internet orders placed in 'Presell' polygons lack start/end times, leading to potential delays.",address correction
" Partner Portal issue reported by Mr. Seitz. He requested a pause on his service since March 31st and was informed that the account was paused. However, he is still being charged $65. He is requesting a refund and for his account to be put on pause.",address correction
" A customer called to add a 360 Wi-Fi plan to their account, but the Partner Portal does not show the option. The customer has tried using different devices to access the portal, but the issue persists. The 360 Wi-Fi plan is available at the customer's address. (Case Number: 00399063)",address correction
 - INC4756900: Partner Portal issue. - Mr. Hall wants to pause his account until August 09. - Previous attempt to pause the account was unsuccessful.,address correction
